time,open,high,low,close,volume,normalize,rescale,n_rsi,n_cci,n_wt,n_adx,my_trSmooth,regime_filter,filter_adx,filter_volatility,rational_quadratic,currentWeight,gaussian
2023-07-21T07:00:00Z,29856.47,29859.53,29825.54,29825.54,262.04639,0.8781574262956668,331.2837777777778,0.4768086232920626,0.31602169854567846,0.4857120468834563,0.15724398106604237,368.54158583690764,0,0,0,29853.776641432494,409199.43042331154,29859.135707740075
2023-07-21T07:15:00Z,29825.54,29825.55,29800.63,29805.36,208.05982,0.8768264910201441,331.05955555555556,0.46758974942936726,0.28408011105480374,0.40838069564394747,0.16084647932131335,356.6074272532151,0,0,0,29850.222054250757,409150.7084452641,29856.272505614448
2023-07-21T07:30:00Z,29805.36,29805.36,29751.9,29780,375.5208,0.8751539182457507,330.77777777777777,0.4537457116498648,0.21858311511530318,0.32177339105628666,0.18558887580883693,374.4066845278927,1,0,1,29845.38668241915,409084.4310217025,29852.527214902235
2023-07-21T07:45:00Z,29780,29790.19,29759.98,29766.81,442.34831,0.8742839957341481,330.6312222222222,0.4388599388962005,0.17498028916216665,0.32062581819727537,0.20785703264760808,367.17601607510255,1,0,0,29839.684842641673,409006.27710445,29847.951185252674
2023-07-21T08:00:00Z,29766.81,29793.78,29756.17,29780.91,337.56217,0.875213935644201,330.7878888888889,0.43155235987526663,0.17251838153050944,0.393337187239911,0.22938242379401655,368.0684144675929,0,0,1,29834.429229924262,408934.2395275524,29843.17388657394
2023-07-21T08:15:00Z,29780.9,29809.43,29772,29807.99,118.44178,0.8769999478969839,331.0887777777778,0.4350667379002807,0.20549090774731493,0.5180667683892887,0.2341387381484494,368.6915730208339,0,0,1,29831.503384159754,408894.13557572337,29840.021427401203
2023-07-21T08:30:00Z,29808,29816.78,29788.58,29811.86,120.11195,0.87725518672336,331.13177777777776,0.43948657427126436,0.2415734945253104,0.593183077691067,0.23192359608782057,360.0224157187476,0,0,0,29829.001484184464,408859.84255956125,29837.001147030598
2023-07-21T08:45:00Z,29811.87,29811.87,29784.95,29786.29,219.52888,0.8755687637800936,330.84766666666667,0.4358549491210655,0.24521362946992498,0.5267746305782259,0.23206997270568963,350.9401741468711,0,0,0,29824.661239293473,408800.3517367209,29832.440950750464
2023-07-21T09:00:00Z,29786.3,29810,29772.54,29810,222.0176,0.8771325137990551,331.1111111111111,0.4412356367926285,0.2852215375978456,0.5623120350931555,0.23937044232071428,353.30615673218307,0,0,1,29821.979993320376,408763.60046272987,29828.919548646823
2023-07-21T09:15:00Z,29810,29851.37,29809.99,29844,237.16819,0.8793749220928,331.4888888888889,0.4561144739916919,0.3777270032504377,0.6930023524198031,0.21850040082711553,359.35554105896216,0,0,1,29822.633595738596,408772.5592534541,29828.139427303926
